Львів 2 - Жовква 06:15;Петро Коваль;29.4;6.8;2026-09-10
Львів 2 - Жовква 06:45;Олег Марчук;29.4;7.1;2026-09-10
Львів 2 - Рава-Руська 07:50;Іван Волос;61.0;13.8;2026-09-10
Львів 2 - Рава-Руська 08:05;Марія Бойко;61.0;14.2;2026-09-10
Львів 2 - Майдан 08:10;Назар Литвин;37.5;8.3;2026-09-10
Львів 2 - Волиця 08:20;Остап Шевчук;36.8;8.0;2026-09-10
Львів 2 - Любеля 08:30;Андрій Савка;42.0;9.4;2026-09-10
Львів 2 - Сокаль 16:20;Роман Дуб;78.0;17.6;2026-09-10
;Петро Коваль;29.4;6.8;2026-09-11
Львів 2 - Цетуля 16:10;Олена Кравець;помилка;8.2;2026-09-11
Львів 2 - Карів 08:50;Степан Мороз;-10.0;2.5;2026-09-11
Львів 2 - Дев'ятир 10:20; ;45.0;10.1;2026-09-11
